RA;TURMA;TURMA_NOME
11012606;NAESTE037-17SA;Análise Econômica de Projetos Energéticos A-Noturno (Santo André)
11012606;NaESZE077-17SA;Redes de Distribuição de Energia Elétrica a-Noturno (Santo André)
11201920641;DA1MCTA003-17SA;Análise de Algoritmos A1-Matutino (Santo André)
11201920641;NA1MCTA007-17SA;Compiladores A1-Noturno (Santo André)
11201920641;DA1MCTA009-13SA;Computadores, Ética e Sociedade A1-Matutino (Santo André)
11201920641;DA1MCTA018-13SA;Programação Orientada a Objetos A1-Matutino (Santo André)
11201920641;DA1MCTA025-13SA;Sistemas Distribuídos A1-Matutino (Santo André)
11201920856;NAMCTB001-17SB;Álgebra Linear A-Noturno (São Bernardo)
11201920856;NA1BCK0104-15SB;Interações Atômicas e Moleculares A1-Noturno (São Bernardo)
11201920856;DC1ESTO005-17SA;Introdução às Engenharias C1-Matutino (Santo André)
11201920856;NA1BCN0405-15SA;Introdução às Equações Diferenciais Ordinárias A1-Noturno (Santo André)
11201920856;NA1MCTC007-15SB;Pesquisa e Comunicação Científica A1-Noturno (São Bernardo)
11201920856;DA2BCS0002-15SA;Projeto Dirigido A2-Matutino (Santo André)
11202020902;DA2BCS0001-15SB;Base Experimental das Ciências Naturais A2-Matutino (São Bernardo)
11202020902;DA1MCTA009-13SA;Computadores, Ética e Sociedade A1-Matutino (Santo André)
11202020902;DANHZ2106-18SB;Filosofia da Ciência A-Matutino (São Bernardo)
21086413;NA2BHP0001-15SB;Ética e Justiça A2-Noturno (São Bernardo)
11202111864;NA1BCN0402-15SB;Funções de Uma Variável A1-Noturno (São Bernardo)
11202111864;NA2BCM0505-15SB;Processamento da Informação A2-Noturno (São Bernardo)
11202111864;NA1BCS0002-15SB;Projeto Dirigido A1-Noturno (São Bernardo)
11202111864;NA2BCL0307-15SB;Transformações Químicas A2-Noturno (São Bernardo)
11024613;NB2MCTB010-13SA;Cálculo Vetorial e Tensorial B2-Noturno (Santo André)
11024613;DA2ESTA002-17SA;Circuitos Elétricos I A2-Matutino (Santo André)
11024613;NAESTE030-17SA;Engenharia de Petróleo e Gás A-Noturno (Santo André)
11024613;NAESTO015-17SA;Mecânica dos Fluidos I A-Noturno (Santo André)
11202020978;DA1BCS0001-15SA;Base Experimental das Ciências Naturais A1-Matutino (Santo André)
11202020978;DB1BIQ0602-15SA;Estrutura e Dinâmica Social B1-Matutino (Santo André)
11202020978;DB3BCK0104-15SA;Interações Atômicas e Moleculares B3-Matutino (Santo André)
11202020978;DD1ESTO005-17SA;Introdução às Engenharias D1-Matutino (Santo André)
11202020978;DA2BCN0405-15SA;Introdução às Equações Diferenciais Ordinárias A2-Matutino (Santo André)
11202020978;DB1ESTO012-17SA;Princípios de Administração B1-Matutino (Santo André)
11030509;NA1NHT3095-15SA;Práticas de Ensino de Física I A1-Noturno (Santo André)
11030509;NA1ESTB021-17SB;Sensores Biomédicos A1-Noturno (São Bernardo)
21025414;DA1ESHC003-17SB;Desenvolvimento Socioeconômico A1-Matutino (São Bernardo)
21025414;NA2BHQ0002-15SB;Estudos Étnico-Raciais A2-Noturno (São Bernardo)
21025414;NB1BHP0001-15SB;Ética e Justiça B1-Noturno (São Bernardo)
21025414;NA1BIN0406-15SB;Introdução à Probabilidade e à Estatística A1-Noturno (São Bernardo)
11201922014;NA1BIR0004-15SA;Bases Epistemológicas da Ciência Moderna A1-Noturno (Santo André)
11201922014;NA2BCJ0204-15SA;Fenômenos Mecânicos A2-Noturno (Santo André)
11201922014;NA1BCN0404-15SA;Geometria Analítica A1-Noturno (Santo André)
11202131100;NA3BCJ0205-15SB;Fenômenos Térmicos A3-Noturno (São Bernardo)
11202131100;NA2BCM0505-15SB;Processamento da Informação A2-Noturno (São Bernardo)
11202131100;NA2BCL0307-15SB;Transformações Químicas A2-Noturno (São Bernardo)
11111209;NANHZ6009-18SA;Biologia Sintética A-Noturno (Santo André)
11111209;NA1NHZ6008-18SA;Engenharia Metabólica A1-Noturno (Santo André)
11111209;NANHZ6006-18SA;Proteínas Recombinantes A-Noturno (Santo André)
11111209;NA1NHZ6007-18SA;Segurança e Regulamentação em Biotecnologia A1-Noturno (Santo André)
11111209;NA1NHZ6002-18SA;Tecnologia de Fermentações A1-Noturno (Santo André)
11201722436;NAMCTB001-17SB;Álgebra Linear A-Noturno (São Bernardo)
11201722436;NA1BCK0104-15SB;Interações Atômicas e Moleculares A1-Noturno (São Bernardo)
11201722436;NB1ESTO012-17SA;Princípios de Administração B1-Noturno (Santo André)
11202210015;DB1NHI5002-15SA;Didática B1-Matutino (Santo André)
11202210015;DB5BCJ0205-15SA;Fenômenos Térmicos B5-Matutino (Santo André)
11202210015;DA1BCN0407-15SA;Funções de Várias Variáveis A1-Matutino (Santo André)
11202210015;NA1NHT3095-15SA;Práticas de Ensino de Física I A1-Noturno (Santo André)
11202210015;NC1BCL0307-15SA;Transformações Químicas C1-Noturno (Santo André)
11045315;NA2ESTO902-17SA;Engenharia Unificada I A2-Noturno (Santo André)
11045315;NA2ESTB025-17SB;Instrumentação Biomédica I A2-Noturno (São Bernardo)
11045315;NAMCTC014-13SA;Introdução à Inferência Estatística A-Noturno (Santo André)
11045315;NA1MCZC019-20SB;Introdução à Neuroimunologia A1-Noturno (São Bernardo)
11045315;NA1ESTB024-17SB;Modelagem de Sistemas Dinâmicos II A1-Noturno (São Bernardo)
11127809;NAESTM005-17SA;Materiais Metálicos A-Noturno (Santo André)
21063415;NAESZE010-17SA;Automação de Sistemas Elétricos de Potência A-Noturno (Santo André)
21063415;NAESTE018-17SA;Fundamentos de Sistemas Dinâmicos A-Noturno (Santo André)
21063415;DA1ESTE027-17SA;Laboratório de Calor e Fluidos A1-Matutino (Santo André)
21063415;NB1ESTE026-17SA;Laboratório de Máquinas Térmicas e Hidráulicas B1-Noturno (Santo André)
21063415;NaESZE077-17SA;Redes de Distribuição de Energia Elétrica a-Noturno (Santo André)
21063415;NAESTE014-17SA;Sistemas Térmicos A-Noturno (Santo André)
11081709;DAESTS005-17SB;Dinâmica e Controle de Veículos Espaciais A-Matutino (São Bernardo)
11035614;NAESZA007-17SA;Confiabilidade de Componentes e Sistemas A-Noturno (Santo André)
11035614;DA1ESZU006-17SA;Economia, Sociedade e Meio Ambiente A1-Matutino (Santo André)
11035614;NA1ESTA018-17SA;Eletromagnetismo Aplicado A1-Noturno (Santo André)
11035614;NA2MCTC007-15SB;Pesquisa e Comunicação Científica A2-Noturno (São Bernardo)
11035614;DAESTA010-17SA;Sensores e Transdutores A-Matutino (Santo André)
11201812123;NB1ESTG001-17SB;Custos B1-Noturno (São Bernardo)
11201812123;DA1ESTG004-17SB;Elaboração, Análise e Avaliação de Projetos A1-Matutino (São Bernardo)
11201812123;NA2NHI5015-15SA;LIBRAS A2-Noturno (Santo André)
11201812123;NA1ESTG024-17SB;Sistemas de Informação Corporativos A1-Noturno (São Bernardo)
11201722779;NA1ESZG001-17SB;Análise de Redes de Transporte e Distribuição A1-Noturno (São Bernardo)
11201722779;NA1ESTG002-17SB;Desenvolvimento Integrado do Produto A1-Noturno (São Bernardo)
11201722779;NA1ESTG003-17SB;Economia de Empresas A1-Noturno (São Bernardo)
11201722779;DA3NHI5015-15SA;LIBRAS A3-Matutino (Santo André)
11201722779;DA1ESZG021-17SB;Negociação e Solução de Conflitos Organizacionais A1-Matutino (São Bernardo)
11201722779;DA1ESTG022-17SB;Sistemas CAM A1-Matutino (São Bernardo)
11201920575;NB1BIR0004-15SA;Bases Epistemológicas da Ciência Moderna B1-Noturno (Santo André)
11201920575;NB1NHI5002-15SA;Didática B1-Noturno (Santo André)
11201920575;NC3BCL0307-15SA;Transformações Químicas C3-Noturno (Santo André)
13201910061;NB1ESHR903-18SB;Metodologia de Pesquisa em Relações Internacionais (TCC 1) B1-Noturno (São Bernardo)
13201910061;NA1ESZR017-14SB;Regimes de negociação ambiental internacional e a atuação brasileira A1-Noturno (São Bernardo)
13201910061;NA1ESZR018-14SB;Regimes de negociação comercial internacional e a atuação brasileira A1-Noturno (São Bernardo)
11201922339;DB1ESHR005-13SB;Estado e Desenvolvimento Econômico no Brasil Contemporâneo B1-Matutino (São Bernardo)
11201922339;DA1ESHP009-13SB;Governo, Burocracia e Administração Pública A1-Matutino (São Bernardo)
11201922339;DA1ESHP028-14SB;Políticas Públicas para Sociedade da Informação A1-Matutino (São Bernardo)
11201922339;DA1ESHP019-13SB;Regimes e Formas de Governo A1-Matutino (São Bernardo)
11201922339;NA1ESHR016-13SB;Sistema Financeiro Internacional: de Bretton Woods ao non-sistema A1-Noturno (São Bernardo)
21044013;DA1NHT3089-15SA;Trabalho de Conclusão de Curso em Física A1-Matutino (Santo André)
11201920378;NB1ESTG001-17SB;Custos B1-Noturno (São Bernardo)
11201920378;NAMCTB012-13SA;Equações Diferenciais Parciais A-Noturno (Santo André)
11201920378;NA1BIQ0602-15SB;Estrutura e Dinâmica Social A1-Noturno (São Bernardo)
11201920378;DC1ESTO005-17SA;Introdução às Engenharias C1-Matutino (Santo André)
11201920378;NA2ESTO012-17SA;Princípios de Administração A2-Noturno (Santo André)
11201810101;NAMCTB001-17SA;Álgebra Linear A-Noturno (Santo André)
11201810101;NBMCTB009-17SA;Cálculo Numérico B-Noturno (Santo André)
11201810101;DB2BCJ0205-15SA;Fenômenos Térmicos B2-Matutino (Santo André)
11201810101;DB1BCN0402-15SA;Funções de Uma Variável B1-Matutino (Santo André)
11002915;NAMCTB010-13SA;Cálculo Vetorial e Tensorial A-Noturno (Santo André)
11002915;NA1ESZI027-17SA;Informação e Sociedade A1-Noturno (Santo André)
11002915;NA1ESTO012-17SA;Princípios de Administração A1-Noturno (Santo André)
11201811049;NAMCTB001-17SB;Álgebra Linear A-Noturno (São Bernardo)
11201811049;NA1MCTA007-17SA;Compiladores A1-Noturno (Santo André)
11201811049;NA1MCZA008-17SA;Interação Humano-Computador A1-Noturno (Santo André)
21032816;NCESTO902-17SB;Engenharia Unificada I C-Noturno (São Bernardo)
21032816;NB1BCN0407-15SA;Funções de Várias Variáveis B1-Noturno (Santo André)
21032816;NA1BCN0404-15SA;Geometria Analítica A1-Noturno (Santo André)
21032816;NA2BCK0104-15SA;Interações Atômicas e Moleculares A2-Noturno (Santo André)
21032816;NA2BCN0405-15SA;Introdução às Equações Diferenciais Ordinárias A2-Noturno (Santo André)
11201932503;NB2BCN0402-15SA;Funções de Uma Variável B2-Noturno (Santo André)
11201932503;NA1BCN0404-15SA;Geometria Analítica A1-Noturno (Santo André)
11201932503;NB4BCM0505-15SA;Processamento da Informação B4-Noturno (Santo André)
11201932503;Da1ESTG025-17SA;Propriedade Intelectual a1-Matutino (Santo André)
11012316;DA1ESZG021-17SB;Negociação e Solução de Conflitos Organizacionais A1-Matutino (São Bernardo)
11012316;NA1ESZG010-17SB;Planejamento e Controle de Projetos A1-Noturno (São Bernardo)
11012316;DA1ESTG022-17SB;Sistemas CAM A1-Matutino (São Bernardo)
11201920333;DAESTS004-17SB;Desempenho de Aeronaves A-Matutino (São Bernardo)
11201920333;DC1ESTO011-17SA;Fundamentos de Desenho Técnico C1-Matutino (Santo André)
11201920333;DAESTA003-17SA;Sistemas de Controle I A-Matutino (Santo André)
11201920333;DB1ESTO014-17SA;Termodinâmica Aplicada I B1-Matutino (Santo André)
11201920706;DAMCTB001-17SA;Álgebra Linear A-Matutino (Santo André)
11201920706;DB1ESTO011-17SA;Fundamentos de Desenho Técnico B1-Matutino (Santo André)
11201920706;NA1ESTU009-17SA;Hidrologia A1-Noturno (Santo André)
11201920706;DA1BCK0104-15SA;Interações Atômicas e Moleculares A1-Matutino (Santo André)
11201920706;NA1ESTU039-17SA;Regulação Ambiental e Urbanística A1-Noturno (Santo André)
11201920385;DA1BHO0102-15SB;Desenvolvimento e Sustentabilidade A1-Matutino (São Bernardo)
11201920385;NA1ESZU006-17SA;Economia, Sociedade e Meio Ambiente A1-Noturno (Santo André)
11201920385;NANHZ2106-18SB;Filosofia da Ciência A-Noturno (São Bernardo)
11201920385;NB3BCK0104-15SA;Interações Atômicas e Moleculares B3-Noturno (Santo André)
11201920385;DA1ESZG032-17SA;Modelos e Ferramentas de Gestão Ambiental A1-Matutino (Santo André)
11096513;NAMCTB001-17SA;Álgebra Linear A-Noturno (Santo André)
11202111766;DA2BCL0306-15SB;Biodiversidade: Interações entre organismos e ambiente A2-Matutino (São Bernardo)
11202111766;DA1BHQ0002-15SB;Estudos Étnico-Raciais A1-Matutino (São Bernardo)
11202111766;DA1BHP0001-15SB;Ética e Justiça A1-Matutino (São Bernardo)
11202111766;DA1BHO1102-19SB;Introdução à Economia A1-Matutino (São Bernardo)
11202111766;DA1BHQ0301-15SB;Território e Sociedade A1-Matutino (São Bernardo)
11201810859;NA1ESHC003-17SB;Desenvolvimento Socioeconômico A1-Noturno (São Bernardo)
11201810859;DA1ESHC035-21SB;Econometria I A1-Matutino (São Bernardo)
11201810859;NA1ESHC037-17SB;Econometria III A1-Noturno (São Bernardo)
11201810859;NA1ESHC013-21SB;Relações Comerciais e de Investimento Internacionais A1-Noturno (São Bernardo)
11201810859;DA1ESHR016-13SB;Sistema Financeiro Internacional: de Bretton Woods ao non-sistema A1-Matutino (São Bernardo)
11202020602;NB1BIR0603-15SA;Ciência, Tecnologia e Sociedade B1-Noturno (Santo André)
11202020602;NA1BIQ0602-15SA;Estrutura e Dinâmica Social A1-Noturno (Santo André)
11202020602;NA3BCJ0204-15SA;Fenômenos Mecânicos A3-Noturno (Santo André)
11201722296;DA1ESZU006-17SA;Economia, Sociedade e Meio Ambiente A1-Matutino (Santo André)
11201722296;NA1ESTB025-17SB;Instrumentação Biomédica I A1-Noturno (São Bernardo)
